,Time,Time(s),Temp(K)
0,2017-05-07 14:30:50,0,21.85300064086914
1,2017-05-07 14:30:56,6,21.854000091552734
2,2017-05-07 14:31:01,11,21.854000091552734
3,2017-05-07 14:31:07,17,21.854000091552734
4,2017-05-07 14:31:12,22,21.854000091552734
5,2017-05-07 14:31:17,27,21.854000091552734
6,2017-05-07 14:31:23,33,21.854999542236328
7,2017-05-07 14:31:29,39,21.85700035095215
8,2017-05-07 14:31:35,45,21.85700035095215
9,2017-05-07 14:31:40,50,21.856000900268555
10,2017-05-07 14:31:45,55,21.85700035095215
11,2017-05-07 14:31:51,61,21.857999801635746
12,2017-05-07 14:31:57,67,21.858999252319336
13,2017-05-07 14:32:02,72,21.858999252319336
14,2017-05-07 14:32:08,78,21.858999252319336
15,2017-05-07 14:32:13,83,21.86000061035156
16,2017-05-07 14:32:19,89,21.86000061035156
17,2017-05-07 14:32:24,94,21.86000061035156
18,2017-05-07 14:32:29,99,21.86000061035156
19,2017-05-07 14:32:34,104,21.86199951171875
20,2017-05-07 14:32:40,110,21.86199951171875
21,2017-05-07 14:32:45,115,21.86199951171875
22,2017-05-07 14:32:51,121,21.86199951171875
23,2017-05-07 14:32:56,126,21.86199951171875
24,2017-05-07 14:33:02,132,21.863000869750977
25,2017-05-07 14:33:07,137,21.86400032043457
26,2017-05-07 14:33:12,142,21.86400032043457
27,2017-05-07 14:33:17,147,21.86400032043457
28,2017-05-07 14:33:18,148,21.863000869750977
29,2017-05-07 14:33:23,153,21.864999771118164
30,2017-05-07 14:33:29,159,21.86599922180176
31,2017-05-07 14:33:34,164,21.867000579833984
32,2017-05-07 14:33:39,169,21.86599922180176
33,2017-05-07 14:33:45,175,21.867000579833984
34,2017-05-07 14:33:50,180,21.868000030517575
35,2017-05-07 14:33:56,186,21.867000579833984
36,2017-05-07 14:34:01,191,21.868000030517575
37,2017-05-07 14:34:07,197,21.868000030517575
38,2017-05-07 14:34:12,202,21.868000030517575
39,2017-05-07 14:34:17,207,21.86899948120117
40,2017-05-07 14:34:22,212,21.8700008392334
41,2017-05-07 14:34:27,217,21.871000289916992
42,2017-05-07 14:34:33,223,21.871999740600586
43,2017-05-07 14:34:38,228,21.871000289916992
44,2017-05-07 14:34:44,234,21.871999740600586
45,2017-05-07 14:34:49,239,21.871999740600586
46,2017-05-07 14:34:54,244,21.87299919128418
47,2017-05-07 14:35:00,250,21.874000549316406
48,2017-05-07 14:35:05,255,21.874000549316406
49,2017-05-07 14:35:11,261,21.87299919128418
50,2017-05-07 14:35:16,266,21.874000549316406
51,2017-05-07 14:35:21,271,21.875999450683594
52,2017-05-07 14:35:27,277,21.875
53,2017-05-07 14:35:32,282,21.87700080871582
54,2017-05-07 14:35:37,287,21.875999450683594
55,2017-05-07 14:35:42,292,21.87700080871582
56,2017-05-07 14:35:48,298,21.87700080871582
57,2017-05-07 14:35:53,303,21.878000259399414
58,2017-05-07 14:35:59,309,21.878999710083008
59,2017-05-07 14:36:05,315,21.878999710083008
